Scrip Code,COMPANY,ISIN No.,Close Price
500408,TATA ELXSI LTD.,INE670A01012,6799
544028,Tata Technologies Limited,INE142M01025,998.3
540769,The New India Assurance Compan,INE470Y01017,238.4
500260,THE RAMCO CEMENTS LIMITED,INE331A01037,804.85
500420,TORRENT PHARMACEUTICALS LTD.,INE685A01028,3346.35
532779,TORRENT POWER LTD.,INE813H01021,1693.2
500251,TRENT LTD.,INE849A01020,6512.95
540762,Tube Investments of India Ltd,INE974X01010,4004.95
532343,TVS MOTOR COMPANY LTD.,INE494B01023,2600.8
532505,UCO BANK,INE691A01018,50.65
532477,UNION BANK OF INDIA,INE692A01016,117.55
532478,UNITED BREWERIES LTD.,INE686F01025,1972.05
532539,UNO Minda Limited,INE405E01023,1154.85
543463,Vedant Fashions Limited,INE825V01034,1122.65
532822,VODAFONE IDEA  LIMITED,INE669E01016,15.88
500575,VOLTAS LTD.,INE226A01021,1534.1
500238,WHIRLPOOL OF INDIA LTD.,INE716A01013,2095.25
532648,YES BANK LTD.,INE528G01035,24.26
505537,ZEE ENTERTAINMENT ENTERPRISES,INE256A01028,134.45
