Scrip Code,COMPANY,ISIN No.,Close Price
543896,Avalon Technologies Limited,INE0LCL01028,515.8
532406,AVANTEL LTD.,INE005B01027,187.3
512573,AVANTI FEEDS LTD.,INE871C01038,694.5
540376,Avenue Supermarts Limited,INE192R01011,4879.55
519105,AVT NATURAL PRODUCTS LTD.,INE488D01021,91.07
532215,AXIS BANK LTD.,INE238A01034,1165.85
532395,AXISCADES TECHNOLOGIES LIMITED,INE555B01013,611.4
544061,Azad Engineering Limited,INE02IJ01035,1619.8
532719,B.L.KASHYAP AND SONS LTD.,INE350H01032,114.55
532977,BAJAJ AUTO LTD.,INE917I01010,10401.35
533229,BAJAJ CONSUMER CARE LIMITED,INE933K01021,272.25
500031,BAJAJ ELECTRICALS LTD.,INE193E01025,979.1
500034,BAJAJ FINANCE LIMITED,INE296A01024,6735.5
532978,BAJAJ FINSERV LTD.,INE918I01026,1640.2
539872,Bajaj Healthcare Limited,INE411U01027,411.75
500032,BAJAJ HINDUSTHAN SUGAR LIMITED,INE306A01021,41.28
500490,BAJAJ HOLDINGS & INVESTMENT LT,INE118A01012,9873.3
530999,BALAJI AMINES LTD.,INE050E01027,2178.6
502355,BALKRISHNA INDUSTRIES LTD.,INE787D01026,2851.8
523319,BALMER LAWRIE & CO.LTD.,INE164A01016,274.55
532485,BALMER LAWRIE INVESTMENTS LTD.,INE525F01025,93.85
500038,BALRAMPUR CHINI MILLS LTD.,INE119A01028,563.3
531112,BALU FORGE INDUSTRIES LIMITED,INE011E01029,775.9
500039,BANCO PRODUCTS (INDIA) LTD.,INE213C01025,672.85
541153,Bandhan Bank Limited,INE545U01014,201.9
532134,BANK OF BARODA,INE028A01039,252.35
532149,BANK OF INDIA,INE084A01016,120.65
532525,BANK OF MAHARASHTRA,INE457A01014,62.33
500041,BANNARI AMMAN SUGARS LTD.,INE459A01010,3182.7
543283,BARBEQUE-NATION HOSPITALITY LI,INE382M01027,663.2
500042,BASF INDIA LTD.,INE373A01013,6691.7
500043,BATA INDIA LTD.,INE176A01028,1452.95
506285,BAYER CROPSCIENCE LTD.,INE462A01022,6275.45
524332,BCL INDUSTRIES LIMITED,INE412G01024,57.5
543898,BEML Land Assets Limited,INE0N7W01012,275.2
500048,BEML LTD.,INE258A01016,3916.55
509480,BERGER PAINTS INDIA LTD.,INE463A01038,565.95
539660,BEST AGROLIFE LIMITED,INE052T01013,630.45
533303,BF INVESTMENT LTD.,INE878K01010,588.2
532430,BF UTILITIES LTD.,INE243D01012,809.15
530803,Bhageria Industries Limited,INE354C01027,179.45
531719,BHAGIRADHA CHEMICALS & INDUSTR,INE414D01027,414.55
500052,BHANSALI ENGINEERING POLYMERS,INE922A01025,169.25
