symbol,error
STANCAP,Missing 'marketCap' in stock info
AASTAFIN,Missing 'marketCap' in stock info
DUGARHOU,Missing 'marketCap' in stock info
ZNILKENG,Missing 'previousClose' in stock info
SOBME,Missing 'marketCap' in stock info
EFCIL,Missing 'marketCap' in stock info
INERTIAST,Missing 'marketCap' in stock info
KAPILCO,Missing 'marketCap' in stock info
TCC,Missing 'marketCap' in stock info
SHYAM,Missing 'marketCap' in stock info
VISVEN,Missing 'marketCap' in stock info
ZSANMCOM,Missing 'previousClose' in stock info
WINROC,Missing 'previousClose' in stock info
SAICOM,Missing 'marketCap' in stock info
WARDHEALTH,Missing 'previousClose' in stock info
NIDHGRN,Missing 'marketCap' in stock info
EY,Missing 'marketCap' in stock info
TRIPR,Missing 'previousClose' in stock info
ROSEMER,Missing 'marketCap' in stock info
TWIROST,Missing 'previousClose' in stock info
MRUTR,Missing 'previousClose' in stock info
KAJALSY,Missing 'previousClose' in stock info
NIBEORD,Missing 'previousClose' in stock info
BENTCOM,Missing 'marketCap' in stock info
TERRAREAL,Missing 'marketCap' in stock info
MLINDLTD,Missing 'marketCap' in stock info
AVANCE,Missing 'marketCap' in stock info
BAJGLOB,Missing 'previousClose' in stock info
CLASELE,Missing 'previousClose' in stock info
ZNIVITRD,Missing 'previousClose' in stock info
SPVGLOBAL,Missing 'previousClose' in stock info
TASHIND,Missing 'previousClose' in stock info
ZMANSOON,Missing 'marketCap' in stock info
SGMART,Missing 'marketCap' in stock info
AUTOINT,Missing 'marketCap' in stock info
MAGANTR,Missing 'marketCap' in stock info
YASTF,Missing 'marketCap' in stock info
ZSPEEDCO,Missing 'previousClose' in stock info
SERA,Missing 'marketCap' in stock info
CESL,Missing 'previousClose' in stock info
MERCTRD,Missing 'marketCap' in stock info
ZSHERAPR,Missing 'previousClose' in stock info
ASUTENT,Missing 'marketCap' in stock info
GANONPRO,Missing 'marketCap' in stock info
PUNCTRD,Missing 'marketCap' in stock info
LLOYDSENT,Missing 'marketCap' in stock info
UNIWSEC,Missing 'previousClose' in stock info
BENGALS,Missing 'previousClose' in stock info
WHITHAL,Missing 'previousClose' in stock info
DHANCOT,Missing 'marketCap' in stock info
DEVITRD,Missing 'previousClose' in stock info
OASISEC,Missing 'marketCap' in stock info
NEELKANTH,Missing 'marketCap' in stock info
MEENST,Missing 'marketCap' in stock info
VINVANI,Missing 'previousClose' in stock info
ASTALLTD,Missing 'marketCap' in stock info
ZJEETMAC,Missing 'marketCap' in stock info
VARUNME,Missing 'previousClose' in stock info
CHROME,Missing 'marketCap' in stock info
MANBRO,Missing 'marketCap' in stock info
PULSRIN,Missing 'marketCap' in stock info
GUJTLRM,Missing 'marketCap' in stock info
KVFORGE,Missing 'marketCap' in stock info
ZHINUDYP,Missing 'previousClose' in stock info
BLOIN,Missing 'marketCap' in stock info
NOVIS,Missing 'marketCap' in stock info
STERPOW,Missing 'marketCap' in stock info
SIZEMASTER,Missing 'marketCap' in stock info
FFPL,Missing 'marketCap' in stock info
MARKOBENZ,Missing 'marketCap' in stock info
MFSINTRCRP,Missing 'marketCap' in stock info
KONARKSY,Missing 'marketCap' in stock info
RISHYRN,Missing 'marketCap' in stock info
RUDRAECO,Missing 'marketCap' in stock info
MKVENTURES,Missing 'marketCap' in stock info
ONEGLOBAL,Missing 'marketCap' in stock info
JATTAINDUS,Missing 'marketCap' in stock info
SURBHIN,Missing 'marketCap' in stock info
EVERFIN,Missing 'marketCap' in stock info
TTLEL,Missing 'previousClose' in stock info
DUROPLY,Missing 'marketCap' in stock info
KRRAIL,Missing 'marketCap' in stock info
LSIND,Missing 'marketCap' in stock info
ECOHOTELS,Missing 'marketCap' in stock info
EDVENSWA,Missing 'marketCap' in stock info
SOMAPPR,Missing 'marketCap' in stock info
FAMILYCARE,Missing 'marketCap' in stock info
