stock_symbol,date,rsi,macd,bollinger_bands,sma,ema,stochastic,atr,obv,fibonacci_retracement,ichimoku_cloud,parabolic_sar,score
BANARISUG,2024-08-31,"{'value': np.float64(54.62936), 'signal': None}","{'value': {'macd': np.float64(14.72185), 'signal': np.float64(7.15242), 'histogram': np.float64(7.56943)}, 'signal': 'bullish'}","{'middle_band': np.float64(3146.4325), 'upper_band': np.float64(3273.44502), 'lower_band': np.float64(3019.41998), 'signal': 'bullish'}","{'value': np.float64(3146.4325), 'signal': 'bullish'}","{'value': np.float64(3147.30237), 'signal': 'bullish'}","{'k_value': np.float64(70.17521), 'd_value': np.float64(46.2472), 'signal': 'bullish'}","{'value': np.float64(110.14286), 'signal': 'volatile'}","{'value': 2327, 'signal': 'bullish'}","{'levels': {'level_0': array(3402.05), 'level_236': array(3130.591), 'level_382': array(2962.6545), 'level_618': array(2691.1955), 'level_100': array(2251.8)}, 'signal': 'bullish'}","{'tenkan_sen': 3239.425, 'kijun_sen': 3227.15, 'senkou_span_a': 3039.3375, 'senkou_span_b': 2830.6, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 3064.0, 'signal': 'bullish'}",100.0
CIPLA,2024-08-31,"{'value': np.float64(77.06398), 'signal': 'bearish'}","{'value': {'macd': np.float64(26.78489), 'signal': np.float64(20.77424), 'histogram': np.float64(6.01065)}, 'signal': 'bullish'}","{'middle_band': np.float64(1573.8625), 'upper_band': np.float64(1641.20438), 'lower_band': np.float64(1506.52062), 'signal': 'bullish'}","{'value': np.float64(1573.8625), 'signal': 'bullish'}","{'value': np.float64(1579.97036), 'signal': 'bullish'}","{'k_value': np.float64(95.70136), 'd_value': np.float64(88.73619), 'signal': 'bullish'}","{'value': np.float64(29.52143), 'signal': 'volatile'}","{'value': 2008795, 'signal': 'bullish'}","{'levels': {'level_0': array(1655.75), 'level_236': array(1536.4284), 'level_382': array(1462.6108), 'level_618': array(1343.2892), 'level_100': array(1150.15)}, 'signal': 'bullish'}","{'tenkan_sen': 1609.525, 'kijun_sen': 1550.1, 'senkou_span_a': 1512.3375, 'senkou_span_b': 1449.65, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 1553.85624, 'signal': 'bullish'}",99.97
GODREJIND,2024-08-31,"{'value': np.float64(88.67769), 'signal': 'bearish'}","{'value': {'macd': np.float64(28.6548), 'signal': np.float64(16.8397), 'histogram': np.float64(11.8151)}, 'signal': 'bullish'}","{'middle_band': np.float64(922.4325), 'upper_band': np.float64(1014.39646), 'lower_band': np.float64(830.46854), 'signal': 'bullish'}","{'value': np.float64(922.4325), 'signal': 'bullish'}","{'value': np.float64(935.78471), 'signal': 'bullish'}","{'k_value': np.float64(91.3407), 'd_value': np.float64(90.78884), 'signal': 'bullish'}","{'value': np.float64(32.30714), 'signal': 'volatile'}","{'value': 43860486, 'signal': 'bullish'}","{'levels': {'level_0': array(1015.4), 'level_236': array(886.9452), 'level_382': array(807.4774), 'level_618': array(679.0226), 'level_100': array(471.1)}, 'signal': 'bullish'}","{'tenkan_sen': 960.9, 'kijun_sen': 946.175, 'senkou_span_a': 877.425, 'senkou_span_b': 826.375, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 915.28912, 'signal': 'bullish'}",99.93
INDIAGLYCO,2024-08-31,"{'value': np.float64(71.59813), 'signal': 'bearish'}","{'value': {'macd': np.float64(68.64694), 'signal': np.float64(68.48633), 'histogram': np.float64(0.16061)}, 'signal': 'bullish'}","{'middle_band': np.float64(1251.9675), 'upper_band': np.float64(1370.43868), 'lower_band': np.float64(1133.49632), 'signal': 'bullish'}","{'value': np.float64(1251.9675), 'signal': 'bullish'}","{'value': np.float64(1246.34184), 'signal': 'bullish'}","{'k_value': np.float64(94.89841), 'd_value': np.float64(77.21342), 'signal': 'bullish'}","{'value': np.float64(64.01071), 'signal': 'volatile'}","{'value': 1456987, 'signal': 'bullish'}","{'levels': {'level_0': array(1387.5), 'level_236': array(1209.8392), 'level_382': array(1099.9304), 'level_618': array(922.2696), 'level_100': array(634.7)}, 'signal': 'bullish'}","{'tenkan_sen': 1325.4, 'kijun_sen': 1186.725, 'senkou_span_a': 971.9375, 'senkou_span_b': 872.825, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 1239.97605, 'signal': 'bullish'}",99.9
NIITLTD,2024-08-31,"{'value': np.float64(80.05797), 'signal': 'bearish'}","{'value': {'macd': np.float64(10.9307), 'signal': np.float64(4.96597), 'histogram': np.float64(5.96473)}, 'signal': 'bullish'}","{'middle_band': np.float64(126.0025), 'upper_band': np.float64(165.8684), 'lower_band': np.float64(86.1366), 'signal': 'bullish'}","{'value': np.float64(126.0025), 'signal': 'bullish'}","{'value': np.float64(132.01863), 'signal': 'bullish'}","{'k_value': np.float64(88.93805), 'd_value': np.float64(87.68437), 'signal': 'bullish'}","{'value': np.float64(8.49643), 'signal': 'volatile'}","{'value': 10632632, 'signal': 'bullish'}","{'levels': {'level_0': array(170.65), 'level_236': array(148.85304), 'level_382': array(135.36848), 'level_618': array(113.57152), 'level_100': array(78.29)}, 'signal': 'bullish'}","{'tenkan_sen': 142.2, 'kijun_sen': 141.5, 'senkou_span_a': 113.075, 'senkou_span_b': 106.15, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 121.86077, 'signal': 'bullish'}",99.87
ORIENTHOT,2024-08-31,"{'value': np.float64(79.08384), 'signal': 'bearish'}","{'value': {'macd': np.float64(3.58518), 'signal': np.float64(1.34926), 'histogram': np.float64(2.23592)}, 'signal': 'bullish'}","{'middle_band': np.float64(139.0175), 'upper_band': np.float64(154.57741), 'lower_band': np.float64(123.45759), 'signal': 'bullish'}","{'value': np.float64(139.0175), 'signal': 'bullish'}","{'value': np.float64(141.52941), 'signal': 'bullish'}","{'k_value': np.float64(92.30769), 'd_value': np.float64(83.42978), 'signal': 'bullish'}","{'value': np.float64(8.02143), 'signal': 'volatile'}","{'value': 4781038, 'signal': 'bullish'}","{'levels': {'level_0': array(162.3), 'level_236': array(142.81348), 'level_382': array(130.75826), 'level_618': array(111.27174), 'level_100': array(79.73)}, 'signal': 'bullish'}","{'tenkan_sen': 148.925, 'kijun_sen': 144.3, 'senkou_span_a': 135.825, 'senkou_span_b': 133.1, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 139.55079, 'signal': 'bullish'}",99.84
PRIMESECU,2024-08-31,"{'value': np.float64(85.82264), 'signal': 'bearish'}","{'value': {'macd': np.float64(12.53898), 'signal': np.float64(8.20193), 'histogram': np.float64(4.33705)}, 'signal': 'bullish'}","{'middle_band': np.float64(260.035), 'upper_band': np.float64(296.69042), 'lower_band': np.float64(223.37958), 'signal': 'bullish'}","{'value': np.float64(260.035), 'signal': 'bullish'}","{'value': np.float64(265.72615), 'signal': 'bullish'}","{'k_value': np.float64(89.76487), 'd_value': np.float64(88.20516), 'signal': 'bullish'}","{'value': np.float64(13.71786), 'signal': 'volatile'}","{'value': 1284048, 'signal': 'bullish'}","{'levels': {'level_0': array(302.3), 'level_236': array(263.2538), 'level_382': array(239.0981), 'level_618': array(200.0519), 'level_100': array(136.85)}, 'signal': 'bullish'}","{'tenkan_sen': 276.35, 'kijun_sen': 273.3, 'senkou_span_a': 235.775, 'senkou_span_b': 216.6, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 256.75208, 'signal': 'bullish'}",99.8
SWARAJENG,2024-08-31,"{'value': np.float64(78.99794), 'signal': 'bearish'}","{'value': {'macd': np.float64(99.67245), 'signal': np.float64(57.39904), 'histogram': np.float64(42.2734)}, 'signal': 'bullish'}","{'middle_band': np.float64(3064.095), 'upper_band': np.float64(3393.05763), 'lower_band': np.float64(2735.13237), 'signal': 'bullish'}","{'value': np.float64(3064.095), 'signal': 'bullish'}","{'value': np.float64(3106.85968), 'signal': 'bullish'}","{'k_value': np.float64(92.21589), 'd_value': np.float64(84.82272), 'signal': 'bullish'}","{'value': np.float64(104.775), 'signal': 'stable'}","{'value': 78388, 'signal': 'bullish'}","{'levels': {'level_0': array(3406.3), 'level_236': array(3064.1708), 'level_382': array(2852.5146), 'level_618': array(2510.3854), 'level_100': array(1956.6)}, 'signal': 'bullish'}","{'tenkan_sen': 3169.3, 'kijun_sen': 3151.025, 'senkou_span_a': 2981.5375, 'senkou_span_b': 2737.5, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 3004.11327, 'signal': 'bullish'}",99.77
VEERENRGY,2024-08-31,"{'value': np.float64(87.17156), 'signal': 'bearish'}","{'value': {'macd': np.float64(0.94775), 'signal': np.float64(0.13679), 'histogram': np.float64(0.81097)}, 'signal': 'bullish'}","{'middle_band': np.float64(20.8485), 'upper_band': np.float64(25.43848), 'lower_band': np.float64(16.25852), 'signal': 'bullish'}","{'value': np.float64(20.8485), 'signal': 'bullish'}","{'value': np.float64(21.542), 'signal': 'bullish'}","{'k_value': np.float64(99.91047), 'd_value': np.float64(87.91133), 'signal': 'bullish'}","{'value': np.float64(1.65071), 'signal': 'volatile'}","{'value': 6565344, 'signal': 'bullish'}","{'levels': {'level_0': array(31.54), 'level_236': array(27.01352), 'level_382': array(24.21324), 'level_618': array(19.68676), 'level_100': array(12.36)}, 'signal': 'bullish'}","{'tenkan_sen': 23.885, 'kijun_sen': 23.885, 'senkou_span_a': 20.595, 'senkou_span_b': 20.875, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 19.8571, 'signal': 'bullish'}",99.74
BBL,2024-08-31,"{'value': np.float64(75.8476), 'signal': 'bearish'}","{'value': {'macd': np.float64(115.0139), 'signal': np.float64(45.45261), 'histogram': np.float64(69.56129)}, 'signal': 'bullish'}","{'middle_band': np.float64(4879.91), 'upper_band': np.float64(5385.41307), 'lower_band': np.float64(4374.40693), 'signal': 'bullish'}","{'value': np.float64(4879.91), 'signal': 'bullish'}","{'value': np.float64(4960.32657), 'signal': 'bullish'}","{'k_value': np.float64(93.60329), 'd_value': np.float64(92.86348), 'signal': 'bullish'}","{'value': np.float64(215.025), 'signal': 'volatile'}","{'value': 229333, 'signal': 'bullish'}","{'levels': {'level_0': array(5503.85), 'level_236': array(4626.38548), 'level_382': array(4083.54726), 'level_618': array(3206.08274), 'level_100': array(1785.78)}, 'signal': 'bullish'}","{'tenkan_sen': 5094.225, 'kijun_sen': 4878.85, 'senkou_span_a': 4992.45, 'senkou_span_b': 4390.375, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 4795.63494, 'signal': 'bullish'}",99.7
IBRIGST,2024-08-31,"{'value': np.float64(76.26459), 'signal': 'bearish'}","{'value': {'macd': np.float64(3.414), 'signal': np.float64(0.65127), 'histogram': np.float64(2.76272)}, 'signal': 'bullish'}","{'middle_band': np.float64(161.1825), 'upper_band': np.float64(179.08308), 'lower_band': np.float64(143.28192), 'signal': 'bullish'}","{'value': np.float64(161.1825), 'signal': 'bullish'}","{'value': np.float64(165.16585), 'signal': 'bullish'}","{'k_value': np.float64(81.61245), 'd_value': np.float64(72.46582), 'signal': 'bullish'}","{'value': np.float64(5.625), 'signal': 'volatile'}","{'value': 357891, 'signal': 'bullish'}","{'levels': {'level_0': array(202.65), 'level_236': array(159.0726), 'level_382': array(132.1137), 'level_618': array(88.5363), 'level_100': array(18.)}, 'signal': 'bullish'}","{'tenkan_sen': 169.15, 'kijun_sen': 168.675, 'senkou_span_a': 168.3, 'senkou_span_b': 178.875, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 157.16038, 'signal': 'bullish'}",99.67
INVPRECQ,2024-08-31,"{'value': np.float64(81.55382), 'signal': 'bearish'}","{'value': {'macd': np.float64(49.71286), 'signal': np.float64(44.54987), 'histogram': np.float64(5.163)}, 'signal': 'bullish'}","{'middle_band': np.float64(752.4975), 'upper_band': np.float64(843.53841), 'lower_band': np.float64(661.45659), 'signal': 'bullish'}","{'value': np.float64(752.4975), 'signal': 'bullish'}","{'value': np.float64(749.77229), 'signal': 'bullish'}","{'k_value': np.float64(95.91312), 'd_value': np.float64(88.95123), 'signal': 'bullish'}","{'value': np.float64(39.63571), 'signal': 'stable'}","{'value': 534478, 'signal': 'bullish'}","{'levels': {'level_0': array(847.75), 'level_236': array(747.4972), 'level_382': array(685.4764), 'level_618': array(585.2236), 'level_100': array(422.95)}, 'signal': 'bullish'}","{'tenkan_sen': 800.05, 'kijun_sen': 705.225, 'senkou_span_a': 599.0625, 'senkou_span_b': 599.0, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 763.30431, 'signal': 'bullish'}",99.64
DUNCANENG,2024-08-31,"{'value': np.float64(76.21005), 'signal': 'bearish'}","{'value': {'macd': np.float64(31.93812), 'signal': np.float64(23.73799), 'histogram': np.float64(8.20013)}, 'signal': 'bullish'}","{'middle_band': np.float64(638.3575), 'upper_band': np.float64(718.53001), 'lower_band': np.float64(558.18499), 'signal': 'bullish'}","{'value': np.float64(638.3575), 'signal': 'bullish'}","{'value': np.float64(647.1183), 'signal': 'bullish'}","{'k_value': np.float64(87.06757), 'd_value': np.float64(85.75436), 'signal': 'bullish'}","{'value': np.float64(34.68571), 'signal': 'stable'}","{'value': 122121, 'signal': 'bullish'}","{'levels': {'level_0': array(732.1), 'level_236': array(648.1902), 'level_382': array(596.2799), 'level_618': array(512.3701), 'level_100': array(376.55)}, 'signal': 'bullish'}","{'tenkan_sen': 673.975, 'kijun_sen': 659.95, 'senkou_span_a': 557.275, 'senkou_span_b': 496.45, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 622.86307, 'signal': 'bullish'}",99.61
DYNAMATECH,2024-08-31,"{'value': np.float64(78.14017), 'signal': 'bearish'}","{'value': {'macd': np.float64(170.44503), 'signal': np.float64(54.17322), 'histogram': np.float64(116.27181)}, 'signal': 'bullish'}","{'middle_band': np.float64(7104.1575), 'upper_band': np.float64(7963.03561), 'lower_band': np.float64(6245.27939), 'signal': 'bullish'}","{'value': np.float64(7104.1575), 'signal': 'bullish'}","{'value': np.float64(7281.17025), 'signal': 'bullish'}","{'k_value': np.float64(95.65084), 'd_value': np.float64(88.80809), 'signal': 'bullish'}","{'value': np.float64(367.11786), 'signal': 'volatile'}","{'value': 42456, 'signal': 'bullish'}","{'levels': {'level_0': array(8928.1), 'level_236': array(7689.2062), 'level_382': array(6922.7719), 'level_618': array(5683.8781), 'level_100': array(3678.55)}, 'signal': 'bullish'}","{'tenkan_sen': 7348.775, 'kijun_sen': 7087.3, 'senkou_span_a': 7192.675, 'senkou_span_b': 7437.025, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 6940.48327, 'signal': 'bullish'}",99.57
HEUBACHIND,2024-08-31,"{'value': np.float64(69.10682), 'signal': None}","{'value': {'macd': np.float64(20.02229), 'signal': np.float64(11.32996), 'histogram': np.float64(8.69232)}, 'signal': 'bullish'}","{'middle_band': np.float64(498.455), 'upper_band': np.float64(572.7638), 'lower_band': np.float64(424.1462), 'signal': 'bullish'}","{'value': np.float64(498.455), 'signal': 'bullish'}","{'value': np.float64(509.69253), 'signal': 'bullish'}","{'k_value': np.float64(91.82678), 'd_value': np.float64(82.56231), 'signal': 'bullish'}","{'value': np.float64(30.01786), 'signal': 'volatile'}","{'value': 312936, 'signal': 'bullish'}","{'levels': {'level_0': array(644.45), 'level_236': array(577.6384), 'level_382': array(536.3058), 'level_618': array(469.4942), 'level_100': array(361.35)}, 'signal': 'bullish'}","{'tenkan_sen': 520.8, 'kijun_sen': 519.075, 'senkou_span_a': 477.0375, 'senkou_span_b': 456.575, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 479.99639, 'signal': 'bullish'}",99.54
TI,2024-08-31,"{'value': np.float64(68.27743), 'signal': None}","{'value': {'macd': np.float64(4.05219), 'signal': np.float64(0.35025), 'histogram': np.float64(3.70194)}, 'signal': 'bullish'}","{'middle_band': np.float64(244.2375), 'upper_band': np.float64(267.56534), 'lower_band': np.float64(220.90966), 'signal': 'bullish'}","{'value': np.float64(244.2375), 'signal': 'bullish'}","{'value': np.float64(247.554), 'signal': 'bullish'}","{'k_value': np.float64(90.61076), 'd_value': np.float64(86.63597), 'signal': 'bullish'}","{'value': np.float64(11.24643), 'signal': 'volatile'}","{'value': -2922666, 'signal': 'bullish'}","{'levels': {'level_0': array(282.2), 'level_236': array(255.5556), 'level_382': array(239.0722), 'level_618': array(212.4278), 'level_100': array(169.3)}, 'signal': 'bullish'}","{'tenkan_sen': 251.875, 'kijun_sen': 251.875, 'senkou_span_a': 249.1625, 'senkou_span_b': 244.6, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 237.91141, 'signal': 'bullish'}",99.51
APOLLOHOSP,2024-08-31,"{'value': np.float64(59.30546), 'signal': None}","{'value': {'macd': np.float64(105.65259), 'signal': np.float64(92.03358), 'histogram': np.float64(13.61901)}, 'signal': 'bullish'}","{'middle_band': np.float64(6692.435), 'upper_band': np.float64(6918.83774), 'lower_band': np.float64(6466.03226), 'signal': 'bullish'}","{'value': np.float64(6692.435), 'signal': 'bullish'}","{'value': np.float64(6694.01481), 'signal': 'bullish'}","{'k_value': np.float64(89.31662), 'd_value': np.float64(85.51106), 'signal': 'bullish'}","{'value': np.float64(165.93929), 'signal': 'volatile'}","{'value': 197328, 'signal': 'bullish'}","{'levels': {'level_0': array(6928.8), 'level_236': array(6417.0576), 'level_382': array(6100.4712), 'level_618': array(5588.7288), 'level_100': array(4760.4)}, 'signal': 'bullish'}","{'tenkan_sen': 6774.575, 'kijun_sen': 6655.525, 'senkou_span_a': 6349.6875, 'senkou_span_b': 6117.4, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 6529.02081, 'signal': 'bullish'}",99.47
ARIHANTCAP,2024-08-31,"{'value': np.float64(70.1429), 'signal': 'bearish'}","{'value': {'macd': np.float64(1.67181), 'signal': np.float64(1.03488), 'histogram': np.float64(0.63693)}, 'signal': 'bullish'}","{'middle_band': np.float64(77.019), 'upper_band': np.float64(84.27455), 'lower_band': np.float64(69.76345), 'signal': 'bullish'}","{'value': np.float64(77.019), 'signal': 'bullish'}","{'value': np.float64(77.85742), 'signal': 'bullish'}","{'k_value': np.float64(88.29953), 'd_value': np.float64(53.88089), 'signal': 'bullish'}","{'value': np.float64(4.61143), 'signal': 'volatile'}","{'value': 4325032, 'signal': 'bullish'}","{'levels': {'level_0': array(88.75), 'level_236': array(79.64512), 'level_382': array(74.01244), 'level_618': array(64.90756), 'level_100': array(50.17)}, 'signal': 'bullish'}","{'tenkan_sen': 82.05, 'kijun_sen': 80.81, 'senkou_span_a': 74.62, 'senkou_span_b': 68.2, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 74.51473, 'signal': 'bullish'}",99.44
SAMBHAAV,2024-08-31,"{'value': np.float64(68.04734), 'signal': None}","{'value': {'macd': np.float64(0.14651), 'signal': np.float64(0.08622), 'histogram': np.float64(0.06028)}, 'signal': 'bullish'}","{'middle_band': np.float64(5.3895), 'upper_band': np.float64(5.87709), 'lower_band': np.float64(4.90191), 'signal': 'bullish'}","{'value': np.float64(5.3895), 'signal': 'bullish'}","{'value': np.float64(5.41248), 'signal': 'bullish'}","{'k_value': np.float64(50.0), 'd_value': np.float64(45.47101), 'signal': 'bullish'}","{'value': np.float64(0.42571), 'signal': 'volatile'}","{'value': 789179, 'signal': 'bullish'}","{'levels': {'level_0': array(6.23), 'level_236': array(5.47716), 'level_382': array(5.01142), 'level_618': array(4.25858), 'level_100': array(3.04)}, 'signal': 'bullish'}","{'tenkan_sen': 5.91, 'kijun_sen': 5.865, 'senkou_span_a': 5.1325, 'senkou_span_b': 5.085, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 5.26293, 'signal': 'bullish'}",99.41
MATHEWE,2024-08-31,"{'value': np.float64(69.62617), 'signal': None}","{'value': {'macd': np.float64(0.23427), 'signal': np.float64(0.19148), 'histogram': np.float64(0.04279)}, 'signal': 'bullish'}","{'middle_band': np.float64(10.1015), 'upper_band': np.float64(10.66185), 'lower_band': np.float64(9.54115), 'signal': 'bullish'}","{'value': np.float64(10.1015), 'signal': 'bullish'}","{'value': np.float64(10.14265), 'signal': 'bullish'}","{'k_value': np.float64(96.37681), 'd_value': np.float64(94.56177), 'signal': 'bullish'}","{'value': np.float64(0.325), 'signal': 'volatile'}","{'value': 14365, 'signal': 'bullish'}","{'levels': {'level_0': array(10.74), 'level_236': array(9.619), 'level_382': array(8.9255), 'level_618': array(7.8045), 'level_100': array(5.99)}, 'signal': 'bullish'}","{'tenkan_sen': 10.145, 'kijun_sen': 9.915, 'senkou_span_a': 9.345, 'senkou_span_b': 9.055, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 9.5685, 'signal': 'bullish'}",99.37
AJCON,2024-08-31,"{'value': np.float64(68.81612), 'signal': None}","{'value': {'macd': np.float64(1.88312), 'signal': np.float64(1.29754), 'histogram': np.float64(0.58558)}, 'signal': 'bullish'}","{'middle_band': np.float64(43.3355), 'upper_band': np.float64(48.83883), 'lower_band': np.float64(37.83217), 'signal': 'bullish'}","{'value': np.float64(43.3355), 'signal': 'bullish'}","{'value': np.float64(44.08302), 'signal': 'bullish'}","{'k_value': np.float64(68.62069), 'd_value': np.float64(64.93153), 'signal': 'bullish'}","{'value': np.float64(4.35143), 'signal': 'volatile'}","{'value': 321137, 'signal': 'bullish'}","{'levels': {'level_0': array(49.45), 'level_236': array(43.9276), 'level_382': array(40.5112), 'level_618': array(34.9888), 'level_100': array(26.05)}, 'signal': 'bullish'}","{'tenkan_sen': 47.06, 'kijun_sen': 46.75, 'senkou_span_a': 42.95, 'senkou_span_b': 41.215, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 41.17678, 'signal': 'bullish'}",99.34
UPL,2024-08-31,"{'value': np.float64(75.68493), 'signal': 'bearish'}","{'value': {'macd': np.float64(8.71197), 'signal': np.float64(4.60987), 'histogram': np.float64(4.10211)}, 'signal': 'bullish'}","{'middle_band': np.float64(559.8725), 'upper_band': np.float64(595.55783), 'lower_band': np.float64(524.18717), 'signal': 'bullish'}","{'value': np.float64(559.8725), 'signal': 'bullish'}","{'value': np.float64(565.50258), 'signal': 'bullish'}","{'k_value': np.float64(91.41966), 'd_value': np.float64(84.67278), 'signal': 'bullish'}","{'value': np.float64(13.78214), 'signal': 'volatile'}","{'value': 3959170, 'signal': 'bullish'}","{'levels': {'level_0': array(634.65), 'level_236': array(591.5918), 'level_382': array(564.9541), 'level_618': array(521.8959), 'level_100': array(452.2)}, 'signal': 'bullish'}","{'tenkan_sen': 571.75, 'kijun_sen': 559.55, 'senkou_span_a': 554.4125, 'senkou_span_b': 522.475, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 551.66544, 'signal': 'bullish'}",99.31
GLITTEKG,2024-08-31,"{'value': np.float64(65.55024), 'signal': None}","{'value': {'macd': np.float64(0.22431), 'signal': np.float64(0.17913), 'histogram': np.float64(0.04518)}, 'signal': 'bullish'}","{'middle_band': np.float64(4.801), 'upper_band': np.float64(5.32152), 'lower_band': np.float64(4.28048), 'signal': 'bullish'}","{'value': np.float64(4.801), 'signal': 'bullish'}","{'value': np.float64(4.8256), 'signal': 'bullish'}","{'k_value': np.float64(100.0), 'd_value': np.float64(98.5348), 'signal': 'bullish'}","{'value': np.float64(0.24643), 'signal': 'stable'}","{'value': 144224, 'signal': 'bullish'}","{'levels': {'level_0': array(5.5), 'level_236': array(4.8156), 'level_382': array(4.3922), 'level_618': array(3.7078), 'level_100': array(2.6)}, 'signal': 'bullish'}","{'tenkan_sen': 5.05, 'kijun_sen': 4.785, 'senkou_span_a': 4.2825, 'senkou_span_b': 3.93, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 4.63605, 'signal': 'bullish'}",99.28
VARDMNPOLY,2024-08-31,"{'value': np.float64(75.5102), 'signal': 'bearish'}","{'value': {'macd': np.float64(0.59287), 'signal': np.float64(0.3412), 'histogram': np.float64(0.25167)}, 'signal': 'bullish'}","{'middle_band': np.float64(10.2595), 'upper_band': np.float64(11.91132), 'lower_band': np.float64(8.60768), 'signal': 'bullish'}","{'value': np.float64(10.2595), 'signal': 'bullish'}","{'value': np.float64(10.42177), 'signal': 'bullish'}","{'k_value': np.float64(100.0), 'd_value': np.float64(95.29915), 'signal': 'bullish'}","{'value': np.float64(0.64214), 'signal': 'stable'}","{'value': 3968249, 'signal': 'bullish'}","{'levels': {'level_0': array(12.37), 'level_236': array(10.60236), 'level_382': array(9.50882), 'level_618': array(7.74118), 'level_100': array(4.88)}, 'signal': 'bullish'}","{'tenkan_sen': 10.795, 'kijun_sen': 10.24, 'senkou_span_a': 9.4625, 'senkou_span_b': 10.235, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 9.91115, 'signal': 'bullish'}",99.24
S&SPOWER,2024-08-31,"{'value': np.float64(73.69309), 'signal': 'bearish'}","{'value': {'macd': np.float64(25.50772), 'signal': np.float64(24.52891), 'histogram': np.float64(0.97881)}, 'signal': 'bullish'}","{'middle_band': np.float64(384.0375), 'upper_band': np.float64(423.64518), 'lower_band': np.float64(344.42982), 'signal': 'bullish'}","{'value': np.float64(384.0375), 'signal': 'bullish'}","{'value': np.float64(382.16978), 'signal': 'bullish'}","{'k_value': np.float64(100.0), 'd_value': np.float64(99.65465), 'signal': 'bullish'}","{'value': np.float64(9.13929), 'signal': 'volatile'}","{'value': 259866, 'signal': 'bullish'}","{'levels': {'level_0': array(425.1), 'level_236': array(339.196), 'level_382': array(286.052), 'level_618': array(200.148), 'level_100': array(61.1)}, 'signal': 'bullish'}","{'tenkan_sen': 401.625, 'kijun_sen': 364.45, 'senkou_span_a': 273.275, 'senkou_span_b': 254.5, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 389.24332, 'signal': 'bullish'}",99.21
ADFFOODS,2024-08-31,"{'value': np.float64(86.26126), 'signal': 'bearish'}","{'value': {'macd': np.float64(7.83158), 'signal': np.float64(2.78059), 'histogram': np.float64(5.05098)}, 'signal': 'bullish'}","{'middle_band': np.float64(234.085), 'upper_band': np.float64(264.79701), 'lower_band': np.float64(203.37299), 'signal': 'bullish'}","{'value': np.float64(234.085), 'signal': 'bullish'}","{'value': np.float64(239.62903), 'signal': 'bullish'}","{'k_value': np.float64(82.35786), 'd_value': np.float64(79.2474), 'signal': 'bullish'}","{'value': np.float64(10.93929), 'signal': 'stable'}","{'value': 568027, 'signal': 'bullish'}","{'levels': {'level_0': array(269.35), 'level_236': array(248.7944), 'level_382': array(236.0778), 'level_618': array(215.5222), 'level_100': array(182.25)}, 'signal': 'bullish'}","{'tenkan_sen': 250.875, 'kijun_sen': 245.0, 'senkou_span_a': 231.925, 'senkou_span_b': 228.4, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 234.0977, 'signal': 'bullish'}",99.18
MODAIRY,2024-08-31,"{'value': np.float64(52.6047), 'signal': None}","{'value': {'macd': np.float64(0.07278), 'signal': np.float64(-0.23084), 'histogram': np.float64(0.30362)}, 'signal': 'bullish'}","{'middle_band': np.float64(50.607), 'upper_band': np.float64(53.45386), 'lower_band': np.float64(47.76014), 'signal': 'bullish'}","{'value': np.float64(50.607), 'signal': 'bullish'}","{'value': np.float64(50.89986), 'signal': 'bullish'}","{'k_value': np.float64(98.13953), 'd_value': np.float64(69.76744), 'signal': 'bullish'}","{'value': np.float64(2.54071), 'signal': 'volatile'}","{'value': 4779478, 'signal': 'bullish'}","{'levels': {'level_0': array(59.18), 'level_236': array(49.68572), 'level_382': array(43.81214), 'level_618': array(34.31786), 'level_100': array(18.95)}, 'signal': 'bullish'}","{'tenkan_sen': 50.775, 'kijun_sen': 50.775, 'senkou_span_a': 53.225, 'senkou_span_b': 48.6, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 48.251, 'signal': 'bullish'}",99.14
