stock_symbol,date,rsi,macd,bollinger_bands,sma,ema,stochastic,atr,obv,fibonacci_retracement,ichimoku_cloud,parabolic_sar,score
TRANSPEK,2024-08-31,"{'value': np.float64(59.36809), 'signal': None}","{'value': {'macd': np.float64(22.25842), 'signal': np.float64(9.67712), 'histogram': np.float64(12.5813)}, 'signal': 'bullish'}","{'middle_band': np.float64(1740.9875), 'upper_band': np.float64(1839.21218), 'lower_band': np.float64(1642.76282), 'signal': None}","{'value': np.float64(1740.9875), 'signal': 'bullish'}","{'value': np.float64(1759.06328), 'signal': 'bullish'}","{'k_value': np.float64(56.6628), 'd_value': np.float64(72.6682), 'signal': 'bearish'}","{'value': np.float64(59.76429), 'signal': 'volatile'}","{'value': 83336, 'signal': 'bearish'}","{'levels': {'level_0': array(2143.35), 'level_236': array(2002.222), 'level_382': array(1914.914), 'level_618': array(1773.786), 'level_100': array(1545.35)}, 'signal': 'neutral'}","{'tenkan_sen': 1798.7, 'kijun_sen': 1788.125, 'senkou_span_a': 1763.4375, 'senkou_span_b': 1700.0, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 1749.20256, 'signal': 'bullish'}",54.33
KANPRPLA,2024-08-31,"{'value': np.float64(49.0), 'signal': None}","{'value': {'macd': np.float64(2.36192), 'signal': np.float64(1.95696), 'histogram': np.float64(0.40496)}, 'signal': 'bullish'}","{'middle_band': np.float64(119.12), 'upper_band': np.float64(129.04946), 'lower_band': np.float64(109.19054), 'signal': None}","{'value': np.float64(119.12), 'signal': 'bullish'}","{'value': np.float64(118.15929), 'signal': 'bullish'}","{'k_value': np.float64(51.54639), 'd_value': np.float64(55.46392), 'signal': 'bearish'}","{'value': np.float64(5.66429), 'signal': 'stable'}","{'value': 125773, 'signal': 'bearish'}","{'levels': {'level_0': array(145.15), 'level_236': array(132.1464), 'level_382': array(124.1018), 'level_618': array(111.0982), 'level_100': array(90.05)}, 'signal': 'neutral'}","{'tenkan_sen': 121.825, 'kijun_sen': 120.2, 'senkou_span_a': 109.1375, 'senkou_span_b': 102.845, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 113.75014, 'signal': 'bullish'}",54.29
KHAICHEM,2024-08-31,"{'value': np.float64(53.95997), 'signal': None}","{'value': {'macd': np.float64(1.97898), 'signal': np.float64(2.20556), 'histogram': np.float64(-0.22657)}, 'signal': 'bearish'}","{'middle_band': np.float64(85.63), 'upper_band': np.float64(91.68741), 'lower_band': np.float64(79.57259), 'signal': None}","{'value': np.float64(85.63), 'signal': 'bullish'}","{'value': np.float64(85.20751), 'signal': 'bullish'}","{'k_value': np.float64(33.65338), 'd_value': np.float64(40.43847), 'signal': 'bearish'}","{'value': np.float64(6.24929), 'signal': 'volatile'}","{'value': 4342883, 'signal': 'bearish'}","{'levels': {'level_0': array(91.9), 'level_236': array(84.69728), 'level_382': array(80.24136), 'level_618': array(73.03864), 'level_100': array(61.38)}, 'signal': 'bullish'}","{'tenkan_sen': 91.875, 'kijun_sen': 86.135, 'senkou_span_a': 77.8325, 'senkou_span_b': 72.635, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 82.65277, 'signal': 'bullish'}",54.26
NEAGI,2024-08-31,"{'value': np.float64(52.79171), 'signal': None}","{'value': {'macd': np.float64(143.996), 'signal': np.float64(146.84679), 'histogram': np.float64(-2.8508)}, 'signal': 'bearish'}","{'middle_band': np.float64(4819.215), 'upper_band': np.float64(5162.02837), 'lower_band': np.float64(4476.40163), 'signal': None}","{'value': np.float64(4819.215), 'signal': 'bullish'}","{'value': np.float64(4784.91772), 'signal': 'bullish'}","{'k_value': np.float64(47.3151), 'd_value': np.float64(52.10281), 'signal': 'bearish'}","{'value': np.float64(228.93571), 'signal': 'volatile'}","{'value': 8257, 'signal': 'bearish'}","{'levels': {'level_0': array(5040.4), 'level_236': array(4594.7494), 'level_382': array(4319.0503), 'level_618': array(3873.3997), 'level_100': array(3152.05)}, 'signal': 'bullish'}","{'tenkan_sen': 4877.5, 'kijun_sen': 4695.0, 'senkou_span_a': 4138.4875, 'senkou_span_b': 4040.0, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 4659.73065, 'signal': 'bullish'}",54.23
NITINCAST,2024-08-31,"{'value': np.float64(53.7911), 'signal': None}","{'value': {'macd': np.float64(3.31207), 'signal': np.float64(-0.6582), 'histogram': np.float64(3.97027)}, 'signal': 'bullish'}","{'middle_band': np.float64(740.1225), 'upper_band': np.float64(802.93145), 'lower_band': np.float64(677.31355), 'signal': None}","{'value': np.float64(740.1225), 'signal': 'bullish'}","{'value': np.float64(752.72569), 'signal': 'bullish'}","{'k_value': np.float64(61.1399), 'd_value': np.float64(51.10202), 'signal': 'bullish'}","{'value': np.float64(50.70357), 'signal': 'stable'}","{'value': 21391, 'signal': 'bullish'}","{'levels': {'level_0': array(873.5), 'level_236': array(775.3358), 'level_382': array(714.6071), 'level_618': array(616.4429), 'level_100': array(457.55)}, 'signal': 'neutral'}","{'tenkan_sen': 768.5, 'kijun_sen': 741.45, 'senkou_span_a': 800.25, 'senkou_span_b': 711.875, 'chikou_span': 0.0, 'signal': 'neutral'}","{'value': 815.26, 'signal': 'bearish'}",54.2
SMIFS,2024-08-31,"{'value': np.float64(73.51695), 'signal': 'bearish'}","{'value': {'macd': np.float64(2.44951), 'signal': np.float64(1.75379), 'histogram': np.float64(0.69573)}, 'signal': 'bullish'}","{'middle_band': np.float64(57.9835), 'upper_band': np.float64(64.16202), 'lower_band': np.float64(51.80498), 'signal': None}","{'value': np.float64(57.9835), 'signal': 'bullish'}","{'value': np.float64(58.11736), 'signal': 'bullish'}","{'k_value': np.float64(74.28571), 'd_value': np.float64(84.09812), 'signal': 'bearish'}","{'value': np.float64(1.44286), 'signal': 'volatile'}","{'value': 520765, 'signal': 'bearish'}","{'levels': {'level_0': array(83.16), 'level_236': array(72.78544), 'level_382': array(66.36728), 'level_618': array(55.99272), 'level_100': array(39.2)}, 'signal': 'neutral'}","{'tenkan_sen': 59.585, 'kijun_sen': 55.585, 'senkou_span_a': 51.1475, 'senkou_span_b': 54.555, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 57.96211, 'signal': 'bullish'}",54.16
RUCHINFRA,2024-08-31,"{'value': np.float64(53.94913), 'signal': None}","{'value': {'macd': np.float64(0.52734), 'signal': np.float64(0.37951), 'histogram': np.float64(0.14783)}, 'signal': 'bullish'}","{'middle_band': np.float64(15.449), 'upper_band': np.float64(17.81933), 'lower_band': np.float64(13.07867), 'signal': None}","{'value': np.float64(15.449), 'signal': 'bullish'}","{'value': np.float64(15.61571), 'signal': 'bullish'}","{'k_value': np.float64(44.42344), 'd_value': np.float64(59.60933), 'signal': 'bearish'}","{'value': np.float64(1.24357), 'signal': 'volatile'}","{'value': 7542675, 'signal': 'bearish'}","{'levels': {'level_0': array(19.07), 'level_236': array(16.58964), 'level_382': array(15.05518), 'level_618': array(12.57482), 'level_100': array(8.56)}, 'signal': 'neutral'}","{'tenkan_sen': 16.4, 'kijun_sen': 16.255, 'senkou_span_a': 14.1975, 'senkou_span_b': 13.46, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 14.93071, 'signal': 'bullish'}",54.13
PTL,2024-08-31,"{'value': np.float64(59.58816), 'signal': None}","{'value': {'macd': np.float64(0.60018), 'signal': np.float64(0.38365), 'histogram': np.float64(0.21653)}, 'signal': 'bullish'}","{'middle_band': np.float64(45.07), 'upper_band': np.float64(47.52617), 'lower_band': np.float64(42.61383), 'signal': None}","{'value': np.float64(45.07), 'signal': 'bullish'}","{'value': np.float64(45.23905), 'signal': 'bullish'}","{'k_value': np.float64(35.18268), 'd_value': np.float64(42.87315), 'signal': 'bearish'}","{'value': np.float64(1.73571), 'signal': 'stable'}","{'value': 1898914, 'signal': 'bullish'}","{'levels': {'level_0': array(51.93), 'level_236': array(47.43656), 'level_382': array(44.65672), 'level_618': array(40.16328), 'level_100': array(32.89)}, 'signal': 'neutral'}","{'tenkan_sen': 47.425, 'kijun_sen': 46.04, 'senkou_span_a': 44.89, 'senkou_span_b': 43.215, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 49.0, 'signal': 'bearish'}",54.1
CRAVATEX,2024-08-31,"{'value': np.float64(64.85706), 'signal': None}","{'value': {'macd': np.float64(25.04927), 'signal': np.float64(21.59499), 'histogram': np.float64(3.45429)}, 'signal': 'bullish'}","{'middle_band': np.float64(524.525), 'upper_band': np.float64(581.57924), 'lower_band': np.float64(467.47076), 'signal': None}","{'value': np.float64(524.525), 'signal': 'bullish'}","{'value': np.float64(526.86976), 'signal': 'bullish'}","{'k_value': np.float64(56.05364), 'd_value': np.float64(61.72414), 'signal': 'bearish'}","{'value': np.float64(38.76786), 'signal': 'stable'}","{'value': 94514, 'signal': 'bearish'}","{'levels': {'level_0': array(648.9), 'level_236': array(581.8996), 'level_382': array(540.4502), 'level_618': array(473.4498), 'level_100': array(365.)}, 'signal': 'neutral'}","{'tenkan_sen': 553.75, 'kijun_sen': 526.55, 'senkou_span_a': 448.0125, 'senkou_span_b': 437.5, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 503.05794, 'signal': 'bullish'}",54.06
BERGEPAINT,2024-08-31,"{'value': np.float64(68.36634), 'signal': None}","{'value': {'macd': np.float64(12.76277), 'signal': np.float64(11.17751), 'histogram': np.float64(1.58526)}, 'signal': 'bullish'}","{'middle_band': np.float64(552.89), 'upper_band': np.float64(590.15516), 'lower_band': np.float64(515.62484), 'signal': None}","{'value': np.float64(552.89), 'signal': 'bullish'}","{'value': np.float64(555.57555), 'signal': 'bullish'}","{'k_value': np.float64(67.49395), 'd_value': np.float64(69.28975), 'signal': 'bearish'}","{'value': np.float64(18.46786), 'signal': 'stable'}","{'value': 1553654, 'signal': 'bearish'}","{'levels': {'level_0': array(667.8), 'level_236': array(617.827), 'level_382': array(586.9115), 'level_618': array(536.9385), 'level_100': array(456.05)}, 'signal': 'neutral'}","{'tenkan_sen': 565.9, 'kijun_sen': 554.375, 'senkou_span_a': 518.2625, 'senkou_span_b': 488.025, 'chikou_span': 0.0, 'signal': 'bullish'}","{'value': 559.67565, 'signal': 'bullish'}",54.03
